19	17
43	5
72	16
101	17
122	22
160	14
181	21
200	7
235	11
258	14
294	5
322	14
355	17
367	16
398	13
431	13
465	21
481	21
8	44
35	40
76	42
103	46
117	44
144	33
174	41
201	43
233	35
256	41
288	38
322	48
349	34
379	38
394	48
422	33
464	42
480	38
12	62
34	71
72	75
99	61
126	77
149	71
179	71
210	67
242	68
262	76
295	66
326	62
339	72
377	77
410	62
432	68
457	74
490	61
12	100
43	91
65	92
96	100
132	89
152	90
178	99
210	98
242	104
261	102
295	94
325	95
345	100
383	98
410	91
424	97
460	95
478	104
11	128
34	119
71	117
100	130
124	131
156	117
185	122
215	128
239	127
271	123
288	116
324	131
350	128
367	121
410	124
438	117
459	123
487	132
18	156
45	149
72	159
92	160
131	150
150	154
182	149
212	153
243	148
262	144
289	152
316	150
351	149
382	148
395	151
435	149
452	158
491	147
16	178
38	173
71	178
102	179
131	173
158	185
177	179
207	184
236	181
262	173
299	179
313	179
339	179
372	185
408	182
424	180
461	179
486	178
17	214
46	201
70	214
95	204
124	216
145	208
186	205
206	203
240	200
261	206
299	204
316	214
341	213
370	203
405	206
434	206
453	216
491	209
10	234
47	236
61	240
105	230
128	236
157	228
174	237
211	229
244	232
271	232
295	241
323	244
338	233
372	228
407	228
423	229
456	232
490	243
14	260
37	266
75	268
90	269
124	257
148	266
184	264
200	263
238	271
266	272
295	260
323	264
352	271
379	271
409	266
425	263
456	259
490	261
5	288
49	285
75	298
103	294
129	289
150	297
173	288
210	286
232	290
264	290
298	283
327	287
339	299
369	291
402	299
424	283
462	289
493	294
6	319
40	323
71	312
92	317
126	327
153	318
186	323
215	323
241	326
262	323
285	323
325	327
346	318
381	326
405	324
431	327
454	318
484	313
6	347
39	346
62	347
94	355
132	348
146	346
173	350
208	342
231	355
261	341
297	339
321	338
347	350
372	345
409	348
430	340
456	350
492	345
11	373
44	381
71	369
96	371
130	367
156	370
180	373
203	376
240	368
266	372
297	367
311	378
350	377
378	379
410	380
427	373
456	377
488	368
14	399
39	397
69	404
102	404
128	399
146	409
187	400
215	401
240	394
264	408
298	404
319	410
348	409
367	405
409	401
423	395
465	400
487	409
21	431
41	423
75	426
105	434
127	435
159	427
180	431
214	427
237	430
262	422
295	431
327	430
347	436
373	429
408	432
429	434
464	422
478	427
10	461
45	455
77	452
92	461
129	454
159	459
175	459
213	459
235	464
269	450
285	457
322	460
344	457
382	456
409	464
433	464
454	453
481	453
10	482
42	482
65	478
90	489
125	494
150	491
188	482
209	487
235	491
264	488
293	488
324	482
351	487
372	483
408	492
427	489
455	478
487	486
396	271
95	424
296	229
136	45
237	1
153	51
332	337
78	150
184	184
237	172
499	282
24	351
36	323
370	437
87	266
318	45
270	497
322	308
161	268
422	436
59	304
350	195
477	268
490	233
143	303
477	471
