77	29
103	35
168	35
207	26
239	33
284	15
337	20
375	35
427	18
13	80
64	74
103	81
161	54
209	69
247	75
297	81
345	69
394	58
426	68
463	75
32	122
56	105
102	116
147	111
194	100
247	103
297	115
343	102
395	104
420	122
469	101
31	155
76	149
108	167
160	171
203	167
262	171
305	154
352	150
397	159
431	149
480	164
24	198
81	191
115	206
164	208
210	203
253	216
292	204
348	216
376	198
430	194
482	199
25	248
60	243
106	248
170	244
206	261
256	250
297	250
350	258
383	256
421	260
470	263
28	282
76	291
120	308
145	298
197	291
252	290
292	284
337	301
384	284
433	292
473	302
30	330
64	350
112	353
165	337
195	342
242	346
295	343
344	350
388	333
443	335
471	333
34	384
65	385
109	375
158	380
202	393
253	385
298	389
344	398
376	394
434	389
466	391
33	442
60	440
113	432
167	423
214	424
258	422
307	427
342	443
373	427
420	430
470	429
60	488
116	482
150	484
207	471
244	480
296	463
351	480
394	485
443	470
259	96
365	490
143	379
97	208
39	45
450	29
438	440
74	422
