29	27
63	22
99	15
157	26
188	10
239	25
258	27
318	31
364	16
401	16
434	27
28	62
70	64
101	72
149	55
184	58
224	73
281	65
303	62
364	63
394	51
439	69
488	74
13	95
55	110
106	105
142	102
184	99
228	92
280	109
316	93
342	99
392	105
440	93
476	95
13	143
71	137
94	141
156	143
192	154
234	150
258	148
318	134
356	157
389	158
425	155
483	143
18	195
67	177
106	175
145	195
184	176
225	195
272	186
304	176
345	199
384	191
434	179
474	176
29	241
61	227
114	232
142	229
187	236
239	216
275	241
305	239
346	237
389	232
442	221
476	223
28	271
68	265
100	268
144	269
195	266
220	276
267	262
304	280
352	279
406	272
428	272
473	263
18	305
50	304
111	318
140	302
175	313
237	323
277	315
310	324
355	301
387	314
443	324
478	300
19	349
69	351
100	344
142	362
175	356
241	354
269	346
313	359
352	360
387	357
425	352
468	355
11	394
50	405
92	397
146	390
192	392
223	400
265	393
304	387
355	388
398	389
425	390
481	389
9	445
63	435
113	427
140	426
183	447
241	433
278	436
313	445
366	443
394	439
435	444
477	428
71	490
115	486
143	486
182	488
229	471
276	482
312	476
351	482
385	475
125	145
67	361
288	104
85	306
43	14
366	163
443	120
453	412
49	460
203	335
