500.0 500.0
272.0	322.0	10483.7850	0.1054
366.0	339.0	10502.0302	0.0993
409.0	402.0	10429.3303	0.1236
400.0	614.0	9299.2619	0.5002
352.0	570.0	10553.5697	0.0821
396.0	506.0	10724.4484	0.0252
432.0	725.0	10687.4467	0.0375
317.0	714.0	10654.7365	0.0484
414.0	285.0	10638.2971	0.0539
354.0	456.0	10518.7344	0.0938
388.0	399.0	10540.4652	0.0865
381.0	417.0	10573.3760	0.0755
337.0	588.0	10635.1198	0.0550
459.0	679.0	10568.4552	0.0772
362.0	681.0	10616.3291	0.0612
517.0	358.0	10589.5492	0.0702
478.0	360.0	10599.8870	0.0667
596.0	441.0	10702.0872	0.0326
618.0	497.0	10549.7613	0.0834
299.0	323.0	10613.4032	0.0622
328.0	315.0	10663.9077	0.0454
311.0	485.0	10562.0959	0.0793
421.0	279.0	10599.5621	0.0668
278.0	569.0	10503.2757	0.0989
269.0	680.0	10564.2818	0.0786
515.0	544.0	10526.1449	0.0913
303.0	680.0	10690.7180	0.0364
595.0	733.0	10587.6680	0.0708
543.0	673.0	10545.4639	0.0848
470.0	669.0	10640.0293	0.0533
694.0	391.0	10532.3848	0.0892
703.0	401.0	10516.3392	0.0946
267.0	359.0	10558.6302	0.0805
442.0	364.0	10559.4357	0.0802
509.0	312.0	10670.6968	0.0431
470.0	356.0	10551.0676	0.0830
536.0	523.0	10285.0695	0.1716
481.0	493.0	10727.8113	0.0241
490.0	434.0	10344.5028	0.1518
428.0	696.0	10637.3657	0.0542
539.0	717.0	10737.6902	0.0208
510.0	699.0	10506.1753	0.0979
264.0	707.0	10604.6605	0.0651
704.0	590.0	10519.4535	0.0935
269.0	694.0	10497.5105	0.1008
448.0	314.0	10654.7357	0.0484
403.0	417.0	9769.9393	0.3434
403.0	400.0	10611.5291	0.0628
711.0	322.0	10562.4848	0.0792
737.0	272.0	10643.3886	0.0522
730.0	325.0	10748.7550	0.0171
714.0	524.0	10632.6054	0.0558
668.0	502.0	10622.2201	0.0593
548.0	290.0	10512.7571	0.0957
691.0	717.0	10640.0192	0.0533
702.0	699.0	10688.7008	0.0371
434.0	564.0	10135.3081	0.2216
499.0	627.0	9952.3038	0.2826
433.0	678.0	10496.6033	0.1011
342.0	648.0	10673.6302	0.0421
653.0	334.0	10640.0889	0.0533
562.0	333.0	10515.2784	0.0949
635.0	351.0	10524.1157	0.0920
649.0	593.0	10227.3913	0.1909
672.0	589.0	10532.9391	0.0890
624.0	539.0	10269.3136	0.1769
588.0	689.0	10715.9340	0.0280
543.0	674.0	10545.8088	0.0847
672.0	671.0	10605.1944	0.0649
583.0	496.0	10124.3237	0.2252
566.0	433.0	10654.0668	0.0486
651.0	372.0	10106.3600	0.2312
617.0	648.0	10548.8822	0.0837
677.0	670.0	10585.3566	0.0715
635.0	654.0	10492.6660	0.1024
